Plans;Int1;Int2;Int3;Int4;Int5;Int6;Work1;Work2;Work3;Work4;Work5;Work6;Ext1;Ext2;Ext3;Ext4;Ext5;Ext6;Ext7;Ext8;Age;Gender
2;5;3;3;3;5;7;5;5;5;6;4;4;4;6;4;5;3;4;4;5;45;2
1;4;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;7;5;3;7;20;2
1;4;3;1;7;7;7;7;7;7;7;7;7;7;7;7;7;7;6;4;6;20;2
7;7;1;2;1;1;2;4;5;5;5;4;5;5;6;5;4;5;6;6;5;23;2
3;3;3;6;6;5;3;6;4;6;5;6;5;4;5;5;5;1;6;3;5;25;2
2;7;4;7;7;7;7;7;7;7;5;7;7;4;5;6;5;4;5;5;3;20;2
1;4;4;5;5;5;7;7;6;7;5;6;7;7;5;7;7;7;5;3;7;20;2
7;3;2;5;3;5;2;5;5;5;5;5;5;5;5;5;6;5;4;5;5;26;1
2;4;5;6;7;7;3;6;5;6;5;7;7;4;6;6;6;6;6;3;6;20;2
1;4;5;2;3;7;4;7;5;6;3;7;5;6;7;5;7;7;6;1;7;30;2
1;3;3;3;2;6;1;6;6;5;4;6;5;5;5;6;5;7;6;1;6;23;1
7;3;7;7;7;7;5;7;6;7;6;7;7;4;4;4;5;5;5;6;6;21;2
3;4;2;5;5;3;4;4;3;4;2;6;7;2;1;3;1;3;7;4;5;16;2
1;3;6;3;5;1;6;6;6;5;5;4;5;4;6;3;6;6;6;6;6;24;1
4;6;5;5;7;5;5;3;7;4;5;7;5;6;4;6;5;6;6;5;6;24;2
5;1;5;3;6;5;5;6;6;5;5;5;6;5;5;4;5;7;6;3;7;20;2
5;6;6;5;5;6;6;2;3;3;1;6;6;2;6;5;6;3;6;3;6;24;1
4;4;5;6;2;2;1;5;5;5;3;6;3;4;4;4;4;2;5;6;4;21;2
5;5;3;3;7;7;7;7;7;7;5;3;3;4;6;6;5;7;6;2;6;19;2
4;6;3;7;4;6;7;6;7;7;3;6;7;6;7;6;6;6;7;3;6;20;2
7;2;7;7;4;6;7;4;4;7;5;3;4;3;4;6;4;7;6;3;6;23;2
7;2;5;3;4;3;5;6;3;6;4;6;4;6;4;6;6;5;6;4;4;19;2
4;5;2;3;1;2;1;4;3;3;1;5;5;3;4;4;1;2;6;7;5;33;1
6;4;3;5;3;5;2;5;4;4;4;4;4;3;2;5;4;3;4;5;5;30;1
2;1;6;6;6;4;5;4;4;5;5;6;5;5;5;5;5;6;5;4;6;20;2
2;3;6;5;6;6;6;6;6;6;7;4;4;6;5;6;6;6;5;6;6;20;1
1;4;5;5;3;4;3;4;5;5;5;5;5;5;5;5;5;5;7;4;5;20;2
1;6;3;6;7;7;6;6;7;7;6;7;7;7;5;7;7;7;5;2;7;21;1
3;2;6;7;7;6;7;6;5;6;3;6;6;6;3;6;4;3;7;6;6;20;2
6;7;5;7;6;6;2;6;5;6;6;7;7;5;6;6;6;4;7;5;7;41;2
3;4;4;4;3;3;4;2;1;4;3;4;5;3;2;1;3;2;2;4;3;32;2
4;5;7;5;5;5;2;6;6;6;6;7;6;3;3;6;5;3;6;4;5;26;1
7;4;6;6;2;3;1;6;6;5;1;5;5;5;2;5;5;3;6;7;7;36;1
2;7;2;3;1;4;2;5;4;5;5;7;7;4;5;5;4;3;6;3;7;45;2
6;2;3;6;5;4;5;5;6;7;3;5;6;4;3;6;5;5;6;3;6;21;2
3;2;5;5;3;3;2;3;3;5;5;5;6;3;3;5;3;3;5;3;3;21;2
1;7;1;1;1;7;1;7;7;7;7;7;7;7;7;7;7;7;7;1;7;41;1
5;3;7;7;7;7;6;5;5;7;7;4;4;5;7;7;7;7;5;2;7;22;1
3;3;4;4;3;5;3;6;4;6;4;4;6;5;5;4;4;3;6;5;5;21;2
1;3;5;5;6;6;5;6;6;7;6;6;7;6;6;6;6;4;6;5;6;23;2
1;2;4;6;5;7;5;7;7;7;6;7;6;7;7;7;6;3;6;4;7;27;1
1;2;2;5;1;3;1;3;4;4;6;5;6;1;5;3;4;3;7;5;6;53;1
6;5;3;5;1;2;1;1;3;2;2;5;5;2;3;2;2;2;6;7;6;29;2
1;1;6;7;1;7;7;7;7;6;7;7;7;1;4;4;6;6;5;4;6;22;2
1;2;5;4;7;7;7;7;7;7;7;5;7;2;6;7;7;7;5;5;7;25;2
1;5;2;5;1;6;1;4;7;6;5;7;7;2;5;5;6;3;6;6;6;26;2
7;1;4;4;6;5;7;5;4;5;2;5;2;3;3;3;2;5;6;6;3;21;2
1;7;1;1;1;6;2;7;7;7;7;7;7;1;6;6;7;3;6;3;7;24;2
